,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
33,AL,G0100670,Dothan Municipal Ap,722268,31.23,-85.43,36301
34,AL,G0100690,Dothan Municipal Ap,722268,31.23,-85.43,36301
35,AL,G0100710,Gadsen Muni  Awos,722285,33.97,-86.08,35904
36,AL,G0100730,Birmingham Municipal Ap,722280,33.57,-86.75,35217
37,MS,G0100750,Columbus Afb,723306,33.65,-88.45,
38,AL,G0100770,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
39,AL,G0100790,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
40,AL,G0100810,Auburn Opelika Apt,722284,32.62,-85.43,36801
41,AL,G0100830,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
42,AL,G0100850,Montgomery Dannelly Field,722260,32.3,-86.4,36043
43,AL,G0100870,Auburn Opelika Apt,722284,32.62,-85.43,36801
44,AL,G0100890,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
45,MS,G0100910,Meridian Naas,722345,32.55,-88.57,39309
46,AL,G0100930,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
47,AL,G0100950,Gadsen Muni  Awos,722285,33.97,-86.08,35904
48,AL,G0100970,Mobile Regional Ap,722230,30.68,-88.25,36608
49,AL,G0100990,Montgomery Dannelly Field,722260,32.3,-86.4,36043
50,AL,G0101010,Maxwell Afb,722265,32.38,-86.35,36112
51,AL,G0101030,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
52,AL,G0101050,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
53,AL,G0101070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
54,AL,G0101090,Troy Af,722267,31.87,-86.02,
55,AL,G0101110,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
56,GA,G0101130,Fort Benning Lawson,722250,32.35,-85.0,36856
57,AL,G0101150,Birmingham Municipal Ap,722280,33.57,-86.75,35217
58,AL,G0101170,Birmingham Municipal Ap,722280,33.57,-86.75,35217
59,MS,G0101190,Meridian Naas,722345,32.55,-88.57,39309
60,AL,G0101210,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
61,AL,G0101230,Auburn Opelika Apt,722284,32.62,-85.43,36801
62,AL,G0101250,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
63,AL,G0101270,Birmingham Municipal Ap,722280,33.57,-86.75,35217
64,AL,G0101290,Mobile Regional Ap,722230,30.68,-88.25,36608
65,AL,G0101310,Montgomery Dannelly Field,722260,32.3,-86.4,36043
66,AL,G0101330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
67,AK,G0200130,Cold Bay Arpt,703160,55.2,-162.72,99571
68,AK,G0200160,Dutch Harbor,704890,53.9,-166.55,99692
69,AK,G0200200,Anchorage Elmendorf,702720,61.25,-149.8,99506
70,AK,G0200500,Bethel Airport,702190,60.78,-161.83,99559
71,AK,G0200600,King Salmon Arpt,703260,58.68,-156.65,
72,AK,G0200680,Healy River Airport,702647,63.88,-149.02,99743
73,AK,G0200700,Dillingham  Amos,703210,59.05,-158.52,
74,AK,G0200900,Fairbanks Intl Arpt,702610,64.82,-147.85,99709
75,AK,G0201100,Juneau IntL Arpt,703810,58.35,-134.58,99801
76,AK,G0201220,Soldotna,702595,60.47,-151.03,
77,AK,G0201300,Ketchikan Intl Ap,703950,55.37,-131.72,99901
78,AK,G0201500,Kodiak Airport,703500,57.75,-152.5,99619
79,AK,G0201640,King Salmon Arpt,703260,58.68,-156.65,
80,AK,G0201700,Birchwood,702746,61.42,-149.52,
81,AK,G0201800,Nome Municipal Arpt,702000,64.52,-165.45,
82,AK,G0201850,Barrow W Post W Rogers Arpt  N,700260,71.32,-156.62,
83,AK,G0201880,Kotzebue Ralph Wein Memorial,701330,66.88,-162.6,
84,AK,G0202200,Sitka Japonski Ap,703710,57.05,-135.37,99835
85,AK,G0202400,Big Delta Allen Aaf,702670,64.0,-145.72,99731
86,AK,G0202610,Valdez Pioneer Fiel,702756,61.13,-146.27,
87,NM,G0400010,Gallup Sen Clarke Fld,723627,35.52,-108.78,87301
88,AZ,G0400030,Douglas Bisbee Douglas Intl A,722735,31.47,-109.6,
89,AZ,G0400050,Flagstaff Pulliam Arpt,723755,35.13,-111.67,86005
90,AZ,G0400070,Prescott Love Field,723723,34.65,-112.42,
91,AZ,G0400090,Safford  Amos,722747,32.82,-109.68,85548
92,AZ,G0400110,Safford  Amos,722747,32.82,-109.68,85548
93,CA,G0400120,Blythe Riverside Co Arpt,747188,33.62,-114.72,
94,AZ,G0400130,Phoenix Sky Harbor Intl Ap,722780,33.45,-111.98,85034
95,AZ,G0400150,Kingman  Amos,723700,35.27,-113.95,
96,AZ,G0400170,Winslow Municipal Ap,723740,35.03,-110.72,86247
97,AZ,G0400190,Tucson International Ap,722740,32.13,-110.95,85706
98,AZ,G0400210,Casa Granda  Awos,722748,32.95,-111.77,8512
99,AZ,G0400230,Bisbee Douglas Intl AP,722720,31.467,-109.6,
100,AZ,G0400250,Prescott Love Field,723723,34.65,-112.42,
101,AZ,G0400270,Yuma Intl Arpt,722800,32.67,-114.6,85365
102,AR,G0500010,Stuttgart  Awos,723416,34.6,-91.57,
103,LA,G0500030,Monroe Regional Ap,722486,32.52,-92.03,71211
104,AR,G0500050,Flippin  Awos,723447,36.3,-92.47,72635
105,AR,G0500070,Bentonville  Awos,723444,36.35,-94.22,72712
106,AR,G0500090,Harrison-Boone County Rgnl AP,723450,36.267,-93.15,72601
107,AR,G0500110,Pine Bluff Faa Ap,723417,34.17,-91.93,
108,AR,G0500130,El Dorado Goodwin Field,723419,33.22,-92.82,
109,AR,G0500150,Harrison Faa Ap,723446,36.27,-93.15,72601
110,MS,G0500170,Greenville Municipal,722356,33.48,-90.98,38782
111,AR,G0500190,Memorial Fld,723415,34.47,-93.1,71913
112,AR,G0500210,Walnut Ridge  Awos,723406,36.13,-90.92,
113,AR,G0500230,Batesville  Awos,723448,35.73,-91.65,72501
114,AR,G0500250,Pine Bluff Faa Ap,723417,34.17,-91.93,
115,AR,G0500270,El Dorado Goodwin Field,723419,33.22,-92.82,
116,AR,G0500290,Little Rock Afb,723405,34.92,-92.15,72099
117,AR,G0500310,Jonesboro Muni,723407,35.83,-90.65,72401
118,AR,G0500330,Fort Smith Regional Ap,723440,35.33,-94.37,72903
119,TN,G0500350,Memphis International Ap,723340,35.07,-89.98,38131
120,AR,G0500370,Jonesboro Muni,723407,35.83,-90.65,72401
121,AR,G0500390,Pine Bluff Faa Ap,723417,34.17,-91.93,
122,MS,G0500410,Greenville Municipal,722356,33.48,-90.98,38782
123,AR,G0500430,Pine Bluff Faa Ap,723417,34.17,-91.93,
124,AR,G0500450,Little Rock Afb,723405,34.92,-92.15,72099
125,AR,G0500470,Fort Smith Regional Ap,723440,35.33,-94.37,72903
126,AR,G0500490,Flippin  Awos,723447,36.3,-92.47,72635
127,AR,G0500510,Memorial Fld,723415,34.47,-93.1,71913
128,AR,G0500530,Little Rock Adams Field,723403,34.75,-92.23,72114
129,AR,G0500550,Jonesboro Muni,723407,35.83,-90.65,72401
130,AR,G0500570,Texarkana Webb Field,723418,33.45,-94.0,71854
131,AR,G0500590,Memorial Fld,723415,34.47,-93.1,71913
132,AR,G0500610,Texarkana Webb Field,723418,33.45,-94.0,71854
133,AR,G0500630,Batesville  Awos,723448,35.73,-91.65,72501
134,AR,G0500650,Batesville  Awos,723448,35.73,-91.65,72501
135,AR,G0500670,Batesville  Awos,723448,35.73,-91.65,72501
136,AR,G0500690,Pine Bluff Faa Ap,723417,34.17,-91.93,
137,AR,G0500710,Fort Smith Regional Ap,723440,35.33,-94.37,72903
138,AR,G0500730,Texarkana Webb Field,723418,33.45,-94.0,71854
139,AR,G0500750,Walnut Ridge  Awos,723406,36.13,-90.92,
140,AR,G0500770,Stuttgart  Awos,723416,34.6,-91.57,
141,AR,G0500790,Pine Bluff Faa Ap,723417,34.17,-91.93,
142,AR,G0500810,Texarkana Webb Field,723418,33.45,-94.0,71854
143,AR,G0500830,Fort Smith Regional Ap,723440,35.33,-94.37,72903
144,AR,G0500850,Little Rock Afb,723405,34.92,-92.15,72099
145,AR,G0500870,Springdale Muni,723434,36.18,-94.12,72764
146,AR,G0500890,Flippin  Awos,723447,36.3,-92.47,72635
147,AR,G0500910,Texarkana Webb Field,723418,33.45,-94.0,71854
148,TN,G0500930,Dyersburg Municipal Ap,723347,36.02,-89.4,38024
149,AR,G0500950,Stuttgart  Awos,723416,34.6,-91.57,
150,AR,G0500970,Memorial Fld,723415,34.47,-93.1,71913
151,AR,G0500990,Texarkana Webb Field,723418,33.45,-94.0,71854
152,AR,G0501010,Harrison-Boone County Rgnl AP,723450,36.267,-93.15,72601
153,AR,G0501030,El Dorado Goodwin Field,723419,33.22,-92.82,
154,AR,G0501050,Little Rock Adams Field,723403,34.75,-92.23,72114
155,AR,G0501070,Stuttgart  Awos,723416,34.6,-91.57,
156,AR,G0501090,Memorial Fld,723415,34.47,-93.1,71913
157,AR,G0501110,Jonesboro Muni,723407,35.83,-90.65,72401
158,AR,G0501130,Fort Smith Regional Ap,723440,35.33,-94.37,72903
159,AR,G0501150,Memorial Fld,723415,34.47,-93.1,71913
160,AR,G0501170,Stuttgart  Awos,723416,34.6,-91.57,
161,AR,G0501190,Little Rock Adams Field,723403,34.75,-92.23,72114
162,AR,G0501210,Walnut Ridge  Awos,723406,36.13,-90.92,
163,TN,G0501230,Memphis International Ap,723340,35.07,-89.98,38131
164,AR,G0501250,Little Rock Adams Field,723403,34.75,-92.23,72114
165,AR,G0501270,Fort Smith Regional Ap,723440,35.33,-94.37,72903
166,AR,G0501290,Batesville  Awos,723448,35.73,-91.65,72501
167,AR,G0501310,Fort Smith Regional Ap,723440,35.33,-94.37,72903
168,AR,G0501330,Texarkana Webb Field,723418,33.45,-94.0,71854
169,AR,G0501350,Batesville  Awos,723448,35.73,-91.65,72501
170,AR,G0501370,Batesville  Awos,723448,35.73,-91.65,72501
171,AR,G0501390,El Dorado Goodwin Field,723419,33.22,-92.82,
172,AR,G0501410,Little Rock Afb,723405,34.92,-92.15,72099
173,AR,G0501430,Fayetteville Drake Field,723445,36.0,-94.17,72703
174,AR,G0501450,Batesville  Awos,723448,35.73,-91.65,72501
175,AR,G0501470,Batesville  Awos,723448,35.73,-91.65,72501
176,AR,G0501490,Memorial Fld,723415,34.47,-93.1,71913
177,CA,G0600010,Hayward Air Term,724935,37.67,-122.12,94541
178,CA,G0600030,South Lake Tahoe,725847,38.9,-120.0,96150
179,CA,G0600050,South Lake Tahoe,725847,38.9,-120.0,96150
180,CA,G0600070,Yuba Co,724838,39.1,-121.57,95961
181,CA,G0600090,South Lake Tahoe,725847,38.9,-120.0,96150
182,CA,G0600110,Yuba Co,724838,39.1,-121.57,95961
183,CA,G0600130,Concord Concord Buchanan Fiel,724936,38.0,-122.05,94520
184,CA,G0600150,Crescent City Faa Ai,725946,41.78,-124.23,
185,CA,G0600170,South Lake Tahoe,725847,38.9,-120.0,96150
186,CA,G0600190,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727
187,CA,G0600210,Red Bluff Municipal Arpt,725910,40.15,-122.25,96080
188,CA,G0600230,Arcata Airport,725945,40.98,-124.1,95519
189,CA,G0600250,Imperial,747185,32.83,-115.58,92251
190,CA,G0600270,Bishop Airport,724800,37.37,-118.35,93515
191,CA,G0600290,Bakersfield Meadows Field,723840,35.43,-119.05,93302
192,CA,G0600310,Lemoore Reeves Nas,747020,36.33,-119.95,
193,CA,G0600330,Santa Rosa  Awos,724957,38.52,-122.82,95492
194,CA,G0600350,Alturas,725958,41.5,-120.53,
195,CA,G0600370,Jack Northrop Fld H,722956,33.92,-118.33,90250
196,CA,G0600390,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727
197,CA,G0600410,Napa Co  Airport,724955,38.22,-122.28,94503
198,CA,G0600430,Merced Macready Fld,724815,37.28,-120.52,95341
199,CA,G0600450,Ukiah Municipal Ap,725905,39.13,-123.2,95482
200,CA,G0600470,Merced Macready Fld,724815,37.28,-120.52,95341
201,CA,G0600490,Alturas,725958,41.5,-120.53,
202,CA,G0600510,Bishop Airport,724800,37.37,-118.35,93515
203,CA,G0600530,Salinas Muni AP,725930,36.667,-121.6,93905
204,CA,G0600550,Napa Co  Airport,724955,38.22,-122.28,94503
205,CA,G0600570,Truckee Tahoe,725846,39.32,-120.13,
206,CA,G0600590,Santa Ana John Wayne Ap,722977,33.68,-117.87,92626
207,CA,G0600610,Beale Afb,724837,39.13,-121.43,95903
208,CA,G0600630,Truckee Tahoe,725846,39.32,-120.13,
209,CA,G0600650,March Afb,722860,33.9,-117.25,92518
210,CA,G0600670,Sacramento Executive Arpt,724830,38.5,-121.5,95822
211,CA,G0600690,Salinas Municipal Ap,724917,36.67,-121.6,93905
212,CA,G0600710,Riverside Muni,722869,33.95,-117.45,92504
213,CA,G0600730,San Diego Miramar Nas,722930,32.87,-117.13,92137
214,CA,G0600750,San Francisco Intl Ap,724940,37.62,-122.4,94066
215,CA,G0600770,Stockton Metropolitan Arpt,724920,37.9,-121.23,95213
216,CA,G0600790,San Luis Co Rgnl,722897,35.23,-120.63,93401
217,CA,G0600810,San Francisco Intl Ap,724940,37.62,-122.4,94066
218,CA,G0600830,Santa Barbara Municipal Ap,723925,34.43,-119.85,93117
219,CA,G0600850,San Jose Intl Ap,724945,37.37,-121.93,95110
220,CA,G0600870,San Jose Intl Ap,724945,37.37,-121.93,95110
221,CA,G0600890,Redding Municipal Arpt,725920,40.52,-122.32,
222,CA,G0600910,Truckee Tahoe,725846,39.32,-120.13,
223,CA,G0600930,Montague Siskiyou County Ap,725955,41.78,-122.47,
224,CA,G0600950,Travis Field Afb,745160,38.27,-121.93,94535
225,CA,G0600970,Santa Rosa  Awos,724957,38.52,-122.82,95492
226,CA,G0600990,Modesto City County Ap,724926,37.63,-120.95,95354
227,CA,G0601010,Yuba Co,724838,39.1,-121.57,95961
228,CA,G0601030,Red Bluff Municipal Arpt,725910,40.15,-122.25,96080
229,CA,G0601050,Redding Municipal Arpt,725920,40.52,-122.32,
230,CA,G0601070,Visalia Muni  Awos,723896,36.32,-119.4,93227
231,CA,G0601090,South Lake Tahoe,725847,38.9,-120.0,96150
232,CA,G0601110,Camarillo  Awos,723926,34.22,-119.08,93010
233,CA,G0601130,Sacramento Metropolitan Ap,724839,38.7,-121.58,95837
234,CA,G0601150,Yuba Co,724838,39.1,-121.57,95961
235,CO,G0800010,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
236,CO,G0800030,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
237,CO,G0800050,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
238,CO,G0800070,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
239,NM,G0800090,Clayton Municipal Airpark,723600,36.45,-103.15,
240,CO,G0800110,La Junta Municipal Ap,724635,38.05,-103.53,81030
241,CO,G0800130,Broomfield Jeffco  Boulder   S,724699,40.13,-105.24,80544
242,CO,G0800140,Denver Centennial  Golden   Nr,724666,39.74,-105.18,80401
243,CO,G0800150,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
244,CO,G0800170,Lamar Municipal,724636,38.07,-102.68,
245,CO,G0800190,Leadville Lake Co,724673,39.22,-106.32,80461
246,CO,G0800210,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
247,NM,G0800230,Taos Muni Apt Awos,723663,36.45,-105.67,87529
248,CO,G0800250,La Junta Municipal Ap,724635,38.05,-103.53,81030
249,CO,G0800270,Pueblo Memorial Ap,724640,38.28,-104.5,81006
250,CO,G0800290,Montrose Co  Arpt,724765,38.5,-107.9,81401
251,CO,G0800310,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
252,CO,G0800330,Cortez Montezuma Co,724767,37.3,-108.63,
253,CO,G0800350,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
254,CO,G0800370,Eagle County Ap,724675,39.65,-106.92,81637
255,CO,G0800390,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
256,CO,G0800410,Colorado Springs Muni Ap,724660,38.82,-104.72,80916
257,CO,G0800430,Colorado Springs Muni Ap,724660,38.82,-104.72,80916
258,CO,G0800450,Rifle Garfield Rgnl,725717,39.53,-107.72,81650
259,CO,G0800470,Leadville Lake Co,724673,39.22,-106.32,80461
260,CO,G0800490,Leadville Lake Co,724673,39.22,-106.32,80461
261,CO,G0800510,Gunnison Co   Awos,724677,38.53,-106.93,
262,CO,G0800530,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
263,CO,G0800550,Pueblo Memorial Ap,724640,38.28,-104.5,81006
264,CO,G0800570,Hayden Yampa  Awos,725715,40.48,-107.22,81639
265,CO,G0800590,Denver Centennial  Golden   Nr,724666,39.74,-105.18,80401
266,CO,G0800610,Lamar Municipal,724636,38.07,-102.68,
267,CO,G0800630,Akron Washington Co Ap,724698,40.17,-103.23,80720
268,CO,G0800650,Leadville Lake Co,724673,39.22,-106.32,80461
269,CO,G0800670,Durango La Plata Co,724625,37.15,-107.75,
270,CO,G0800690,Fort Collins  Awos,724769,40.45,-105.02,80538
271,CO,G0800710,Trinidad Las Animas County Ap,724645,37.27,-104.33,81046
272,CO,G0800730,Limon,724665,39.18,-103.72,
273,CO,G0800750,Akron Washington Co Ap,724698,40.17,-103.23,80720
274,CO,G0800770,Grand Junction Walker Field,724760,39.13,-108.53,81506
275,CO,G0800790,Gunnison Co   Awos,724677,38.53,-106.93,
276,CO,G0800810,Craig Moffat,725700,40.5,-107.53,81625
277,CO,G0800830,Cortez Montezuma Co,724767,37.3,-108.63,
278,CO,G0800850,Montrose Co  Arpt,724765,38.5,-107.9,81401
279,CO,G0800870,Akron Washington Co Ap,724698,40.17,-103.23,80720
280,CO,G0800890,La Junta Municipal Ap,724635,38.05,-103.53,81030
281,CO,G0800910,Eagle County Ap,724675,39.65,-106.92,81637
282,CO,G0800930,Leadville Lake Co,724673,39.22,-106.32,80461
283,CO,G0800950,Akron Washington Co Ap,724698,40.17,-103.23,80720
284,CO,G0800970,Aspen Pitkin Co Sar,724676,39.22,-106.87,81611
285,CO,G0800990,Lamar Municipal,724636,38.07,-102.68,
286,CO,G0801010,Pueblo Memorial Ap,724640,38.28,-104.5,81006
287,CO,G0801030,Craig Moffat,725700,40.5,-107.53,81625
288,CO,G0801050,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
289,CO,G0801070,Hayden Yampa  Awos,725715,40.48,-107.22,81639
290,CO,G0801090,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
291,CO,G0801110,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
292,CO,G0801130,Montrose Co  Arpt,724765,38.5,-107.9,81401
293,CO,G0801150,Akron Washington Co Ap,724698,40.17,-103.23,80720
294,CO,G0801170,Leadville Lake Co,724673,39.22,-106.32,80461
295,CO,G0801190,Colorado Springs Muni Ap,724660,38.82,-104.72,80916
296,CO,G0801210,Akron Washington Co Ap,724698,40.17,-103.23,80720
297,CO,G0801230,Greeley Weld  Awos,724768,40.43,-104.63,
298,CO,G0801250,Akron Washington Co Ap,724698,40.17,-103.23,80720
299,CT,G0900010,Danbury Municipal,725086,41.37,-73.48,06813
300,CT,G0900030,Hartford Brainard Fd,725087,41.73,-72.65,06109
301,CT,G0900050,Oxford  Awos,725029,41.48,-73.13,
302,CT,G0900070,Hartford Brainard Fd,725087,41.73,-72.65,06109
303,CT,G0900090,New Haven Tweed Airport,725045,41.27,-72.88,06512
304,CT,G0900110,Groton New London Ap,725046,41.33,-72.05,06340
305,CT,G0900130,Hartford Brainard Fd,725087,41.73,-72.65,06109
306,MA,G0900150,Worcester Rgnl AP,725100,42.267,-71.883,1602
307,DE,G1000010,Dover Afb,724088,39.13,-75.47,19961
308,DE,G1000030,Wilmington New Castle Cnty Ap,724089,39.67,-75.6,19720
309,MD,G1000050,Salisbury-Ocean City-Wicomico Rgnl AP,723980,38.333,-75.517,21804
310,VA,G1100010,Washington Dc Reagan Ap,724050,38.87,-77.03,20242
311,FL,G1200010,Gainesville Rgnl AP,747560,29.7,-82.283,32609
312,FL,G1200030,Jacksonville Nas,722065,30.23,-81.67,32212
313,FL,G1200050,Panama City Bay Co,722245,30.2,-85.68,32405
314,FL,G1200070,Gainesville Regional Ap,722146,29.7,-82.28,32609
315,FL,G1200090,Melbourne Regional Ap,722040,28.12,-80.65,32935
316,FL,G1200110,Fort Lauderdale,722039,26.2,-80.17,33309
317,FL,G1200130,Tyndall Afb,747750,30.07,-85.58,32403
318,FL,G1200150,Fort Myers Page Field,722106,26.58,-81.87,33907
319,FL,G1200170,Ocala Muni  Awos,722055,29.17,-82.22,34474
320,FL,G1200190,Jacksonville Nas,722065,30.23,-81.67,32212
321,FL,G1200210,Naples Municipal,722038,26.15,-81.77,34104
322,FL,G1200230,Gainesville Rgnl AP,747560,29.7,-82.283,32609
323,FL,G1200270,Fort Myers Page Field,722106,26.58,-81.87,33907
324,FL,G1200290,Gainesville Rgnl AP,747560,29.7,-82.283,32609
325,FL,G1200310,Jacksonville Nas,722065,30.23,-81.67,32212
326,FL,G1200330,Pensacola Regional Ap,722223,30.48,-87.18,32504
327,FL,G1200350,Daytona Beach Intl AP,747870,29.183,-81.067,32114
328,FL,G1200370,Tallahassee Regional Ap  Isis,722140,30.38,-84.37,32310
329,FL,G1200390,Tallahassee Regional Ap  Isis,722140,30.38,-84.37,32310
330,FL,G1200410,Gainesville Rgnl AP,747560,29.7,-82.283,32609
331,FL,G1200430,Southwest Florida I,722108,26.53,-81.75,33913
332,FL,G1200450,Tyndall Afb,747750,30.07,-85.58,32403
333,GA,G1200470,Valdosta Wb Airport,722166,30.78,-83.28,31601
334,FL,G1200490,Lakeland Linder Rgn,722119,27.98,-82.02,33811
335,FL,G1200510,Southwest Florida I,722108,26.53,-81.75,33913
336,FL,G1200530,Tampa International Ap,722110,27.97,-82.53,33607
337,FL,G1200550,Lakeland Linder Rgn,722119,27.98,-82.02,33811
338,FL,G1200570,Tampa International Ap,722110,27.97,-82.53,33607
339,FL,G1200590,Panama City Bay Co,722245,30.2,-85.68,32405
340,FL,G1200610,Vero Beach Municipal Arpt,722045,27.65,-80.42,32960
341,FL,G1200630,Panama City Bay Co,722245,30.2,-85.68,32405
342,FL,G1200650,Tallahassee Regional Ap  Isis,722140,30.38,-84.37,32310
343,GA,G1200670,Valdosta Wb Airport,722166,30.78,-83.28,31601
344,FL,G1200690,Orlando Executive Ap,722053,28.55,-81.33,32814
345,FL,G1200710,Fort Myers Page Field,722106,26.58,-81.87,33907
346,FL,G1200730,Tallahassee Regional Ap  Isis,722140,30.38,-84.37,32310
347,FL,G1200750,Ocala Muni  Awos,722055,29.17,-82.22,34474
348,FL,G1200770,Tallahassee Regional Ap  Isis,722140,30.38,-84.37,32310
349,GA,G1200790,Valdosta Wb Airport,722166,30.78,-83.28,31601
350,FL,G1200810,Sarasota Bradenton,722115,27.38,-82.55,34234
351,FL,G1200830,Ocala Muni  Awos,722055,29.17,-82.22,34474
352,FL,G1200850,St Lucie Co Intl,722103,27.48,-80.37,34946
353,FL,G1200860,Miami Intl Ap,722020,25.82,-80.3,33166
354,FL,G1200870,Marathon Airport,722016,24.73,-81.05,33050
355,FL,G1200890,Jacksonville Intl Arpt,722060,30.5,-81.7,
356,FL,G1200910,Valparaiso Elgin Afb,722210,30.48,-86.52,32580
357,FL,G1200930,St Lucie Co Intl,722103,27.48,-80.37,34946
358,FL,G1200950,Orlando Executive Ap,722053,28.55,-81.33,32814
359,FL,G1200970,Orlando Intl Arpt,722050,28.43,-81.33,32862
360,FL,G1200990,West Palm Beach Intl Arpt,722030,26.68,-80.1,33406
361,FL,G1201010,Tampa International Ap,722110,27.97,-82.53,33607
362,FL,G1201030,St Petersburg Clear,722116,27.9,-82.68,33762
363,FL,G1201050,Lakeland Linder Rgn,722119,27.98,-82.02,33811
364,FL,G1201070,Gainesville Regional Ap,722146,29.7,-82.28,32609
365,FL,G1201090,Jacksonville Nas,722065,30.23,-81.67,32212
366,FL,G1201110,St Lucie Co Intl,722103,27.48,-80.37,34946
367,FL,G1201130,Pensacola Regional Ap,722223,30.48,-87.18,32504
368,FL,G1201150,Sarasota Bradenton,722115,27.38,-82.55,34234
369,FL,G1201170,Orlando Sanford Airport,722057,28.78,-81.25,32773
370,FL,G1201190,Ocala Muni  Awos,722055,29.17,-82.22,34474
371,GA,G1201210,Valdosta Wb Airport,722166,30.78,-83.28,31601
372,GA,G1201230,Valdosta Wb Airport,722166,30.78,-83.28,31601
373,FL,G1201250,Gainesville Rgnl AP,747560,29.7,-82.283,32609
374,FL,G1201270,Daytona Beach Intl Ap,722056,29.18,-81.07,32114
375,FL,G1201290,Tallahassee Regional Ap  Isis,722140,30.38,-84.37,32310
376,FL,G1201310,Valparaiso Elgin Afb,722210,30.48,-86.52,32580
377,FL,G1201330,Panama City Bay Co,722245,30.2,-85.68,32405
378,GA,G1300010,Alma-Bacon County AP,723160,31.533,-82.5,31510
379,GA,G1300030,Albany Dougherty County Ap,722160,31.53,-84.18,31707
380,GA,G1300050,Alma-Bacon County AP,723160,31.533,-82.5,31510
